tractkids,pop2010,percent_of_kids,povertyrate,,,,,POP2010,"Population, tract total"
NULL,5696,NULL,8.5,,,,,,
NULL,2531,NULL,4.6,,,,,,
NULL,3713,NULL,2.7,,,,,,
NULL,3169,NULL,6.1,,,,,,
NULL,5135,NULL,2.6,,,,,,
NULL,3790,NULL,2.4,,,,,,
NULL,4057,NULL,2,,,,,,
NULL,2843,NULL,3.8,,,,,,
NULL,2340,NULL,5.4,,,,,,
NULL,2987,NULL,8.5,,,,,,
NULL,6390,NULL,4.5,,,,,,
NULL,2669,NULL,7.2,,,,,,
NULL,4485,NULL,2.2,,,,,,
NULL,6353,NULL,0.6,,,,,,
NULL,5365,NULL,1.7,,,,,,
NULL,4506,NULL,2.5,,,,,,
NULL,1696,NULL,1.7,,,,,,
NULL,1610,NULL,1.3,,,,,,
NULL,3944,NULL,1.8,,,,,,
NULL,2760,NULL,2.2,,,,,,
NULL,3438,NULL,2.4,,,,,,
NULL,6170,NULL,2.5,,,,,,
NULL,4094,NULL,5.9,,,,,,
NULL,5320,NULL,1.2,,,,,,
NULL,3413,NULL,3.7,,,,,,
NULL,4431,NULL,6.1,,,,,,
NULL,4815,NULL,2.4,,,,,,
NULL,1850,NULL,3.8,,,,,,
NULL,3997,NULL,3.1,,,,,,
NULL,3543,NULL,1.1,,,,,,
NULL,4871,NULL,3,,,,,,
NULL,4780,NULL,6.9,,,,,,
NULL,2933,NULL,1.1,,,,,,
NULL,3721,NULL,1.1,,,,,,
NULL,4180,NULL,1.8,,,,,,
NULL,4048,NULL,4.4,,,,,,
NULL,2354,NULL,5.2,,,,,,
NULL,2861,NULL,1.4,,,,,,
NULL,4538,NULL,1.3,,,,,,
NULL,4585,NULL,5.4,,,,,,
NULL,4641,NULL,27.5,,,,,,
NULL,7312,NULL,6.2,,,,,,
NULL,1918,NULL,11.1,,,,,,
NULL,6168,NULL,12.3,,,,,,
NULL,6907,NULL,6.1,,,,,,
NULL,4820,NULL,8.1,,,,,,
NULL,3823,NULL,3.7,,,,,,
NULL,3573,NULL,5.1,,,,,,
NULL,3987,NULL,3.7,,,,,,
NULL,8028,NULL,3.8,,,,,,
NULL,3640,NULL,2.1,,,,,,
NULL,8284,NULL,1,,,,,,
NULL,8947,NULL,4.4,,,,,,
NULL,8791,NULL,2.7,,,,,,
NULL,5076,NULL,24.9,,,,,,
NULL,3372,NULL,7.1,,,,,,
NULL,4880,NULL,3,,,,,,
NULL,5279,NULL,45,,,,,,
NULL,7719,NULL,4.7,,,,,,
NULL,4078,NULL,18.6,,,,,,
NULL,2483,NULL,13.8,,,,,,
NULL,5669,NULL,7.1,,,,,,
NULL,2106,NULL,4.9,,,,,,
NULL,5295,NULL,9.4,,,,,,
NULL,1690,NULL,64.6,,,,,,
NULL,3957,NULL,12.4,,,,,,
NULL,4214,NULL,22.4,,,,,,
NULL,2696,NULL,17.5,,,,,,
NULL,3276,NULL,38.4,,,,,,
NULL,3269,NULL,35.3,,,,,,
NULL,2737,NULL,45.4,,,,,,
NULL,3116,NULL,52.9,,,,,,
NULL,5454,NULL,36.6,,,,,,
NULL,3442,NULL,26.9,,,,,,
NULL,2877,NULL,26.6,,,,,,
NULL,2509,NULL,47.3,,,,,,
NULL,1549,NULL,52.3,,,,,,
NULL,1824,NULL,27.6,,,,,,
NULL,2679,NULL,49.8,,,,,,
NULL,4158,NULL,21.5,,,,,,
NULL,2880,NULL,26.6,,,,,,
NULL,2395,NULL,47.4,,,,,,
NULL,1887,NULL,26.7,,,,,,
NULL,3454,NULL,26.6,,,,,,
NULL,3775,NULL,11.5,,,,,,
NULL,3854,NULL,11.8,,,,,,
NULL,2832,NULL,16.8,,,,,,
NULL,3147,NULL,16.2,,,,,,
NULL,2508,NULL,27.4,,,,,,
NULL,4355,NULL,23.3,,,,,,
NULL,6817,NULL,14.6,,,,,,
NULL,7462,NULL,22.2,,,,,,
NULL,2839,NULL,7.3,,,,,,
NULL,4134,NULL,16.1,,,,,,
NULL,3425,NULL,13.7,,,,,,
NULL,2079,NULL,9.6,,,,,,
NULL,2436,NULL,11.4,,,,,,
NULL,1516,NULL,18.2,,,,,,
NULL,6145,NULL,11,,,,,,
NULL,5522,NULL,21.2,,,,,,
